2022-09-15 10:09:22.801 [main] INFO  o.apache.flink.runtime.taskexecutor.KvStateService - Starting the kvState service and its components.
2022-09-15 10:09:22.816 [main] INFO  org.apache.flink.configuration.Configuration - Config uses fallback configuration key 'akka.ask.timeout' instead of key 'taskmanager.slot.timeout'
2022-09-15 10:09:22.838 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.taskexecutor.TaskExecutor at akka://flink/user/rpc/taskmanager_0 .
2022-09-15 10:09:22.853 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Start job leader service.
2022-09-15 10:09:22.855 [flink-akka.actor.default-dispatcher-4] INFO  org.apache.flink.runtime.filecache.FileCache - User file cache uses directory C:\Users\22935\AppData\Local\Temp\flink-dist-cache-7bced201-4c62-40df-b760-0e70e7d79375
2022-09-15 10:09:22.909 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Starting rest endpoint.
2022-09-15 10:09:22.912 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Failed to load web based job submission extension. Probable reason: flink-runtime-web is not in the classpath.
2022-09-15 10:09:23.579 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Rest endpoint listening at localhost:64927
2022-09-15 10:09:23.580 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender http://localhost:64927
2022-09-15 10:09:23.581 [mini-cluster-io-thread-1] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - http://localhost:64927 was granted leadership with leaderSessionID=e5729cc4-4565-406d-85dd-a23c258f5f7a
2022-09-15 10:09:23.581 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader http://localhost:64927 , session=e5729cc4-4565-406d-85dd-a23c258f5f7a
2022-09-15 10:09:23.594 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: DefaultDispatcherRunner
2022-09-15 10:09:23.594 [main] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Starting resource manager service.
2022-09-15 10:09:23.594 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: ResourceManagerServiceImpl
2022-09-15 10:09:23.594 [mini-cluster-io-thread-2] INFO  o.a.f.r.dispatcher.runner.DefaultDispatcherRunner - DefaultDispatcherRunner was granted leadership with leader id 68513a15-aab6-41d8-a8aa-1a9d14f203ce. Creating new DispatcherLeaderProcess.
2022-09-15 10:09:23.594 [pool-3-thread-1] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Resource manager service is granted leadership with session id c2288faf-a839-464e-a582-4cfba25ad448.
2022-09-15 10:09:23.597 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Flink Mini Cluster started successfully
2022-09-15 10:09:23.598 [mini-cluster-io-thread-2] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Start SessionDispatcherLeaderProcess.
2022-09-15 10:09:23.600 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Recover all persisted job graphs.
2022-09-15 10:09:23.600 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Successfully recovered 0 persisted job graphs.
2022-09-15 10:09:23.608 [mini-cluster-io-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at akka://flink/user/rpc/dispatcher_1 .
2022-09-15 10:09:23.613 [pool-3-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/rpc/resourcemanager_2 .
2022-09-15 10:09:23.616 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/dispatcher_1 , session=68513a15-aab6-41d8-a8aa-1a9d14f203ce
2022-09-15 10:09:23.621 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Starting the resource manager.
2022-09-15 10:09:23.630 [mini-cluster-io-thread-2] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/resourcemanager_2 , session=c2288faf-a839-464e-a582-4cfba25ad448
2022-09-15 10:09:23.631 [flink-akka.actor.default-dispatcher-4] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Connecting to ResourceManager akka://flink/user/rpc/resourcemanager_2(a5824cfba25ad448c2288fafa839464e).
2022-09-15 10:09:23.639 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Resolved ResourceManager address, beginning registration
2022-09-15 10:09:23.645 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Registering TaskManager with ResourceID 2bfd97e6-1b06-4648-abaf-9712b0055bac (akka://flink/user/rpc/taskmanager_0) at ResourceManager
2022-09-15 10:09:23.647 [flink-akka.actor.default-dispatcher-4] INFO  o.a.flink.runtime.dispatcher.StandaloneDispatcher - Received JobGraph submission 'Flink Streaming Job' (05623c86c99c9181686e1a11594c3be4).
2022-09-15 10:09:23.647 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Successful registration at resource manager akka://flink/user/rpc/resourcemanager_2 under registration id a3014127c5f3b8c159fc9e4544f1178f.
2022-09-15 10:09:23.648 [flink-akka.actor.default-dispatcher-4] INFO  o.a.flink.runtime.dispatcher.StandaloneDispatcher - Submitting job 'Flink Streaming Job' (05623c86c99c9181686e1a11594c3be4).
